Entity,Year,Female labor force participation rate,Fertility rate,Population,Child mortality rate,Females' length of education,Contraceptive prevalence,Level of Fertility
Afghanistan,2030,46.229677419354836,6.999149999999999,18043677.451612905,19.56368098548387,6.46,15.1,High
Afghanistan,2035,46.229677419354836,6.999149999999999,18043677.451612905,19.56368098548387,7.2,15.1,High
Afghanistan,2040,46.229677419354836,6.999149999999999,18043677.451612905,19.56368098548387,7.9,15.1,High
Albania,2030,45.63338709677419,3.219070967741936,2825068.419354839,5.950806961290322,10.66,12.919999999999998,High
Albania,2035,45.63338709677419,3.219070967741936,2825068.419354839,5.950806961290322,10.92,12.919999999999998,High
Albania,2040,45.63338709677419,3.219070967741936,2825068.419354839,5.950806961290322,11.21,12.919999999999998,High
Algeria,2030,37.69048387096774,4.959370967741935,25608872.79032258,10.418055320967742,9.65,47.125,High
Algeria,2035,37.69048387096774,4.959370967741935,25608872.79032258,10.418055320967742,10.44,47.125,High
Algeria,2040,37.69048387096774,4.959370967741935,25608872.79032258,10.418055320967742,11.12,47.125,High
Argentina,2030,43.84177419354839,2.8005822580645163,32778798.06451613,3.529676937096774,10.54,68.05000000000001,High
Argentina,2035,43.84177419354839,2.8005822580645163,32778798.06451613,3.529676937096774,10.78,68.05000000000001,High
Argentina,2040,43.84177419354839,2.8005822580645163,32778798.06451613,3.529676937096774,10.98,68.05000000000001,High
Armenia,2030,49.843870967741935,2.467782258064516,2932086.645,5.54441661,10.96,24.44,High
Armenia,2035,49.843870967741935,2.467782258064516,2932086.645,5.54441661,11.1,24.44,High
Armenia,2040,49.843870967741935,2.467782258064516,2932086.645,5.54441661,11.23,24.44,High
Australia,2030,51.611612903225804,2.1310064516129033,17356118.677419353,1.1266354858064516,12.95,64.86,High
Australia,2035,51.611612903225804,2.1310064516129033,17356118.677419353,1.1266354858064516,12.88,64.86,High
Australia,2040,51.611612903225804,2.1310064516129033,17356118.677419353,1.1266354858064516,12.82,64.86,High
Austria,2030,48.71951612903226,1.7245467741935483,7878275.193548387,1.4164909596774193,10.71,59.133333333333326,Low
Austria,2035,48.71951612903226,1.7245467741935483,7878275.193548387,1.4164909596774193,10.87,59.133333333333326,Low
Austria,2040,48.71951612903226,1.7245467741935483,7878275.193548387,1.4164909596774193,10.93,59.133333333333326,Low
Bahrain,2030,40.641774193548386,4.058722580645162,651628.8870967742,4.107699383870968,9.16,30.450000000000003,High
Bahrain,2035,40.641774193548386,4.058722580645162,651628.8870967742,4.107699383870968,9.54,30.450000000000003,High
Bahrain,2040,40.641774193548386,4.058722580645162,651628.8870967742,4.107699383870968,9.83,30.450000000000003,High
Bangladesh,2030,44.112096774193546,4.562401612903225,108516771.22580644,14.424736816129032,9.2,37.205263157894734,High
Bangladesh,2035,44.112096774193546,4.562401612903225,108516771.22580644,14.424736816129032,9.89,37.205263157894734,High
Bangladesh,2040,44.112096774193546,4.562401612903225,108516771.22580644,14.424736816129032,10.55,37.205263157894734,High
Barbados,2030,52.821935483870966,2.220380645,258912.7741935484,2.7807374145161288,10.61,51.13333333333333,High
Barbados,2035,52.821935483870966,2.220380645,258912.7741935484,2.7807374145161288,10.83,51.13333333333333,High
Barbados,2040,52.821935483870966,2.220380645,258912.7741935484,2.7807374145161288,11.03,51.13333333333333,High
Belgium,2030,43.31612903225806,1.8360241935483872,10178243.096774194,1.263378861935484,12.08,57.18571428571429,Low
Belgium,2035,43.31612903225806,1.8360241935483872,10178243.096774194,1.263378861935484,12.17,57.18571428571429,Low
Belgium,2040,43.31612903225806,1.8360241935483872,10178243.096774194,1.263378861935484,12.26,57.18571428571429,Low
Belize,2030,46.41645161290323,4.505462903225807,211671.25806451612,5.289303062903226,11.08,48.65,High
Belize,2035,46.41645161290323,4.505462903225807,211671.25806451612,5.289303062903226,11.27,48.65,High
Belize,2040,46.41645161290323,4.505462903225807,211671.25806451612,5.289303062903226,11.47,48.65,High
Benin,2030,51.12419354838709,6.243014516129032,6101572.548387097,18.009804991935486,7.19,7.1571428571428575,High
Benin,2035,51.12419354838709,6.243014516129032,6101572.548387097,18.009804991935486,8.03,7.1571428571428575,High
Benin,2040,51.12419354838709,6.243014516129032,6101572.548387097,18.009804991935486,8.78,7.1571428571428575,High
Bolivia,2030,49.76403225806452,4.641430645,7414607.080645162,14.39437298387097,9.72,29.4,High
Bolivia,2035,49.76403225806452,4.641430645,7414607.080645162,14.39437298387097,10.19,29.4,High
Bolivia,2040,49.76403225806452,4.641430645,7414607.080645162,14.39437298387097,10.68,29.4,High
Botswana,2030,49.601129032258065,4.7095935483870965,1387754.4516129033,7.999343158064516,11.07,34.525,High
Botswana,2035,49.601129032258065,4.7095935483870965,1387754.4516129033,7.999343158064516,11.28,34.525,High
Botswana,2040,49.601129032258065,4.7095935483870965,1387754.4516129033,7.999343158064516,11.51,34.525,High
Brazil,2030,48.65790322580645,3.2897354838709676,148560344.51612905,7.163142311290323,9,70.4,High
Brazil,2035,48.65790322580645,3.2897354838709676,148560344.51612905,7.163142311290323,9.33,70.4,High
Brazil,2040,48.65790322580645,3.2897354838709676,148560344.51612905,7.163142311290323,9.67,70.4,High
Bulgaria,2030,48.78516129032258,1.7669709677419354,8224867.645161291,2.129213056451613,10.84,33.519999999999996,Low
Bulgaria,2035,48.78516129032258,1.7669709677419354,8224867.645161291,2.129213056451613,10.88,33.519999999999996,Low
Bulgaria,2040,48.78516129032258,1.7669709677419354,8224867.645161291,2.129213056451613,10.92,33.519999999999996,Low
Burundi,2030,53.41854838709677,6.824474193548387,6103774.854838709,17.304133916129032,6.38,15.044444444444444,High
Burundi,2035,53.41854838709677,6.824474193548387,6103774.854838709,17.304133916129032,7.08,15.044444444444444,High
Burundi,2040,53.41854838709677,6.824474193548387,6103774.854838709,17.304133916129032,7.77,15.044444444444444,High
Cambodia,2030,57.152903225806455,4.483403225806452,10038951.41935484,12.982509367741937,6.6,25.599999999999998,High
Cambodia,2035,57.152903225806455,4.483403225806452,10038951.41935484,12.982509367741937,7.36,25.599999999999998,High
Cambodia,2040,57.152903225806455,4.483403225806452,10038951.41935484,12.982509367741937,8.12,25.599999999999998,High
Cameroon,2030,50.555,5.815404838709677,13054846.161290323,15.77319105,8.19,12.514285714285714,High
Cameroon,2035,50.555,5.815404838709677,13054846.161290323,15.77319105,8.9,12.514285714285714,High
Cameroon,2040,50.555,5.815404838709677,13054846.161290323,15.77319105,9.63,12.514285714285714,High
Canada,2030,55.15467741935484,1.9222596774193548,27848317.967741936,1.211515805,13.34,71.94999999999999,Low
Canada,2035,55.15467741935484,1.9222596774193548,27848317.967741936,1.211515805,13.39,71.94999999999999,Low
Canada,2040,55.15467741935484,1.9222596774193548,27848317.967741936,1.211515805,13.45,71.94999999999999,Low
Central African Republic,2030,49.255322580645164,5.9765629032258065,3222485.0322580645,18.04630404032258,4.65,10.14,High
Central African Republic,2035,49.255322580645164,5.9765629032258065,3222485.0322580645,18.04630404032258,5.16,10.14,High
Central African Republic,2040,49.255322580645164,5.9765629032258065,3222485.0322580645,18.04630404032258,5.74,10.14,High
Chile,2030,41.25322580645161,2.6571467741935484,13527614.806451613,3.92405895,11.45,67,High
Chile,2035,41.25322580645161,2.6571467741935484,13527614.806451613,3.92405895,11.66,67,High
Chile,2040,41.25322580645161,2.6571467741935484,13527614.806451613,3.92405895,11.88,67,High
China,2030,50.19048387096774,2.9110758064516125,1106174817.032258,6.41391225,9.71,54.80869565217391,High
China,2035,50.19048387096774,2.9110758064516125,1106174817.032258,6.41391225,10.26,54.80869565217391,High
China,2040,50.19048387096774,2.9110758064516125,1106174817.032258,6.41391225,10.84,54.80869565217391,High
Colombia,2030,48.21596774193548,3.489764516129032,33078143.98387097,5.074251009677419,11.21,54.86363636363637,High
Colombia,2035,48.21596774193548,3.489764516129032,33078143.98387097,5.074251009677419,11.62,54.86363636363637,High
Colombia,2040,48.21596774193548,3.489764516129032,33078143.98387097,5.074251009677419,12.04,54.86363636363637,High
Congo,2030,49.15483870967742,5.384570967741935,2799303,10.332317241935483,6.77,17,High
Congo,2035,49.15483870967742,5.384570967741935,2799303,10.332317241935483,7.08,17,High
Congo,2040,49.15483870967742,5.384570967741935,2799303,10.332317241935483,7.4,17,High
Costa Rica,2030,44.357741935483865,3.296362903225807,3243358.580645161,3.6472463272580646,9.89,65.375,High
Costa Rica,2035,44.357741935483865,3.296362903225807,3243358.580645161,3.6472463272580646,10.23,65.375,High
Costa Rica,2040,44.357741935483865,3.296362903225807,3243358.580645161,3.6472463272580646,10.59,65.375,High
Cote d'Ivoire,2030,50.27548387096774,6.512177419354838,13335521.258064516,16.70173994354839,6.37,11.711111111111112,High
Cote d'Ivoire,2035,50.27548387096774,6.512177419354838,13335521.258064516,16.70173994354839,7.15,11.711111111111112,High
Cote d'Ivoire,2040,50.27548387096774,6.512177419354838,13335521.258064516,16.70173994354839,7.96,11.711111111111112,High
Cuba,2030,47.20209677419355,2.2730887096774195,10193372.064516129,2.417340476612903,12.43,70.47999999999999,High
Cuba,2035,47.20209677419355,2.2730887096774195,10193372.064516129,2.417340476612903,12.86,70.47999999999999,High
Cuba,2040,47.20209677419355,2.2730887096774195,10193372.064516129,2.417340476612903,13.34,70.47999999999999,High
Czechia,2030,49.92177419354839,1.7665806451612904,10190411.887096774,1.2683458011290323,12.93,55.65999999999999,Low
Czechia,2035,49.92177419354839,1.7665806451612904,10190411.887096774,1.2683458011290323,12.97,55.65999999999999,Low
Czechia,2040,49.92177419354839,1.7665806451612904,10190411.887096774,1.2683458011290323,13.03,55.65999999999999,Low
Democratic Republic of Congo,2030,49.62564516129032,6.4895903225806455,42744211.82258064,17.982414717741936,5.46,7.457142857142857,High
Democratic Republic of Congo,2035,49.62564516129032,6.4895903225806455,42744211.82258064,17.982414717741936,6.18,7.457142857142857,High
Democratic Republic of Congo,2040,49.62564516129032,6.4895903225806455,42744211.82258064,17.982414717741936,6.92,7.457142857142857,High
Denmark,2030,55.571451612903225,1.839274193548387,5224688.258064516,0.9865780693548387,11.73,56.95,Low
Denmark,2035,55.571451612903225,1.839274193548387,5224688.258064516,0.9865780693548387,11.7,56.95,Low
Denmark,2040,55.571451612903225,1.839274193548387,5224688.258064516,0.9865780693548387,11.69,56.95,Low
Dominican Republic,2030,44.33822580645161,4.013270967741936,7202144.806451613,8.202144566129032,10.65,56.46666666666667,High
Dominican Republic,2035,44.33822580645161,4.013270967741936,7202144.806451613,8.202144566129032,11.15,56.46666666666667,High
