predicted/actual,country,year,fertility,population,education,healthcare,economics
actual,Singapore,2000,1.5575,4027887,21.03,1456.2,66.12
actual,Singapore,2001,1.2263,4138012,19.44,1369.94,66.17
actual,Singapore,2002,1.3576,4175950,23.38,1515.05,65.4
actual,Singapore,2003,1.2766,4114826,21.93,1712.21,65.46
actual,Singapore,2004,1.2589,4166664,21.6,1669.06,65.41
actual,Singapore,2005,1.2602,4265762,21.61,1748.95,66.15
actual,Singapore,2006,1.2796,4401365,19.94,1839.98,67.14
actual,Singapore,2007,1.2887,4588599,20.82,1916.15,66.67
actual,Singapore,2008,1.2795,4839396,18.65,2159.45,67.83
actual,Singapore,2009,1.2222,4987573,18.33,2237.72,67.98
actual,Singapore,2010,1.1606,5076732,21.02,2370.85,68.71
actual,Singapore,2011,1.2009,5183688,20.84,2481.25,68.91
actual,Singapore,2012,1.2758,5312437,21.33,2696.19,69.55
actual,Singapore,2013,1.197,5399162,21.96,3015.08,69.49
actual,Singapore,2014,1.2454,5469724,19.96,3209.36,70.27
actual,Singapore,2015,1.2248,5535002,16.39,3562.13,71.15
actual,Singapore,2016,0.9974,5607283,17.65,3855.19,70.89
actual,Singapore,2017,0.9542,5612253,17.26,4051.38,70.58
actual,Singapore,2018,0.9455,5638676,16.09,3984.67,70.13
actual,Singapore,2019,0.9621,5703569,16.48,4415.93,70.45
actual,Singapore,2020,0.9957,5685807,11.22,5827.57,70.31
actual,Singapore,2021,1.0243,5453566,13.06,5719.74,71.22
actual,Singapore,2022,1.00742667,5637022,13.28,6150.67,71.25
actual,Singapore,2023,1.01530095,5512021,11.24,6581.6,69.26
predict,Singapore,2024,1.31377086,4586768.62,20.82,1994.8,67.24
predict,Singapore,2025,1.61224076,3646402.65,25.79,-495.11,64.31
predict,Singapore,2026,1.91071067,2706036.69,30.76,-2985.03,61.37
predict,Singapore,2027,2.20918057,1765670.73,35.73,-5474.94,58.44
predict,Singapore,2028,2.50765048,825304.77,40.7,-7964.86,55.5
predict,Singapore,2029,2.80612038,-115061.19,45.67,-10454.78,52.57
predict,Singapore,2030,3.10459029,-1055427.15,50.64,-12944.69,49.63
predict,Singapore,2031,3.40306019,-1995793.12,55.61,-15434.61,46.7
predict,Singapore,2032,3.7015301,-2936159.08,60.58,-17924.52,43.76
predict,Singapore,2033,4,-3876525.04,65.55,-20414.44,40.83
