predicted/actual,country,year,fertility,population,education,healthcare,economics
actual,Singapore,2000,1.5575,4027887,21.03,1456.2,66.12
actual,Singapore,2001,1.2263,4138012,19.44,1369.94,66.17
actual,Singapore,2002,1.3576,4175950,23.38,1515.05,65.4
actual,Singapore,2003,1.2766,4114826,21.93,1712.21,65.46
actual,Singapore,2004,1.2589,4166664,21.6,1669.06,65.41
actual,Singapore,2005,1.2602,4265762,21.61,1748.95,66.15
actual,Singapore,2006,1.2796,4401365,19.94,1839.98,67.14
actual,Singapore,2007,1.2887,4588599,20.82,1916.15,66.67
actual,Singapore,2008,1.2795,4839396,18.65,2159.45,67.83
actual,Singapore,2009,1.2222,4987573,18.33,2237.72,67.98
actual,Singapore,2010,1.1606,5076732,21.02,2370.85,68.71
actual,Singapore,2011,1.2009,5183688,20.84,2481.25,68.91
actual,Singapore,2012,1.2758,5312437,21.33,2696.19,69.55
actual,Singapore,2013,1.197,5399162,21.96,3015.08,69.49
actual,Singapore,2014,1.2454,5469724,19.96,3209.36,70.27
actual,Singapore,2015,1.2248,5535002,16.39,3562.13,71.15
actual,Singapore,2016,0.9974,5607283,17.65,3855.19,70.89
actual,Singapore,2017,0.9542,5612253,17.26,4051.38,70.58
actual,Singapore,2018,0.9455,5638676,16.09,3984.67,70.13
actual,Singapore,2019,0.9621,5703569,16.48,4415.93,70.45
actual,Singapore,2020,0.9957,5685807,11.22,5827.57,70.31
actual,Singapore,2021,1.0243,5453566,13.06,5719.74,71.22
actual,Singapore,2022,1.007426667,5637022,13.28,6150.67,71.25
actual,Singapore,2023,1.015300952,5512021,11.24,6581.6,69.26
predict,Singapore,2024,1.013770857,5531955.33,15.83,4497.48,70.19
predict,Singapore,2025,1.012240762,5536776.08,15.8,4510.25,70.21
predict,Singapore,2026,1.010710667,5541596.83,15.78,4523.01,70.22
predict,Singapore,2027,1.009180571,5546417.59,15.75,4535.78,70.24
predict,Singapore,2028,1.007650476,5551238.34,15.73,4548.54,70.25
predict,Singapore,2029,1.006120381,5556059.09,15.7,4561.3,70.27
predict,Singapore,2030,1.004590286,5560879.84,15.67,4574.07,70.28
predict,Singapore,2031,1.00306019,5565700.6,15.65,4586.83,70.3
predict,Singapore,2032,1.001530095,5570521.35,15.62,4599.6,70.31
predict,Singapore,2033,1,5575342.1,15.6,4612.36,70.33
