Country,Year,Age,M,F,male,female
Afghanistan,1950,0-4,630044,661578,0.487792868,0.512207132
Afghanistan,1950,15-19,414369,369363,0.528712621,0.471287379
Afghanistan,1950,20-24,374109,318392,0.540228823,0.459771177
Afghanistan,1950,25-29,321311,272299,0.541282997,0.458717003
Afghanistan,1950,30-34,276279,232168,0.543378169,0.456621831
Afghanistan,1950,35-39,236792,197326,0.545455383,0.454544617
Afghanistan,1950,40-44,200616,167179,0.545456028,0.454543972
Afghanistan,1950,45-49,176525,141220,0.555555556,0.444444444
Afghanistan,1950,50-54,147126,117700,0.555557234,0.444442766
Afghanistan,1950,55-59,123896,95305,0.5652164,0.4347836
Afghanistan,1950,60-64,94572,72748,0.565216352,0.434783648
Afghanistan,1950,65-69,65057,50043,0.565221546,0.434778454
Afghanistan,1950,70-74,37983,29217,0.565223214,0.434776786
Afghanistan,1950,75-79,17012,13085,0.56523906,0.43476094
Afghanistan,1950,80-84,5023,3863,0.565271213,0.434728787
Afghanistan,1950,85-89,863,663,0.565530799,0.434469201
Afghanistan,1950,90-94,78,61,0.561151079,0.438848921
Afghanistan,1950,95-99,4,3,0.571428571,0.428571429
Afghanistan,1950,100+,0,0,#DIV/0!,#DIV/0!
AFRICA,1950,0-4,19440946,19129060,0.504043116,0.495956884
AFRICA,1950,15-19,11642263,11518254,0.502677164,0.497322836
AFRICA,1950,20-24,10141452,10091425,0.50123628,0.49876372
AFRICA,1950,25-29,8666158,8668134,0.499943003,0.500056997
AFRICA,1950,30-34,7405224,7428423,0.499218028,0.500781972
AFRICA,1950,35-39,6272501,6301287,0.498855317,0.501144683
AFRICA,1950,40-44,5355492,5452647,0.49550547,0.50449453
AFRICA,1950,45-49,4432386,4603413,0.490536144,0.509463856
AFRICA,1950,50-54,3622479,3917188,0.4804561,0.5195439
AFRICA,1950,55-59,2862552,3164890,0.474919875,0.525080125
AFRICA,1950,60-64,2171627,2492584,0.465593645,0.534406355
AFRICA,1950,65-69,1546643,1826045,0.458578736,0.541421264
AFRICA,1950,70-74,980657,1207621,0.448140958,0.551859042
